Incident_ID,Weapon_Type,City,State
20201229WAROS,Handgun,Spokane,WA
20201225FLYOP,Handgun,Pompano Beach,FL
20201211VATAY,Handgun,Yorktown,VA
20201125KSABG,Handgun,Garden City,KS
20201124NCHEH,Handgun,Hendersonville,NC
20201117TXWEW,Handgun,Weatherford,TX
20201117MTGRG,Other,Great Falls,MT
20201116TNWIM,Handgun,Memphis,TN
20201113NCLIL,Handgun,Leland,NC
20201026GARIR,Handgun,Riverdale,GA
20201020ARJAP,Handgun,Pine Bluff,AR
20201014WAWAS,Multiple Handguns,Sunnyside,WA
20201014PABRB,Other,Bradford,PA
20201012TXNOD,Handgun,Dallas,TX
20201012MNSHS,Shotgun,Shakopee,MN
20201009FLJEJ,Handgun,Jacksonville,FL
20201005OKSOM,Other,Moore,OK
20201005ARKIH,Handgun,West Helena,AR
20201002PAMAE,Other,Exton,PA
20200925ILROR,Handgun,Rock Island,IL
20200924ILMCS,Other,Springfield,IL
20200924CAWAC,Multiple Handguns,Ceres,CA
20200924CAWAC,Multiple Rifles,Ceres,CA
20200923PAWIW,Handgun,Warminster,PA
20200923FLHIJ,Other,Jacksonville,FL
20200921CAPLP,Rifle,Pleasant Hill,CA
20200915UTVIB,Shotgun,Bountiful,UT
20200915SCYOR,Other,Rock Hill,SC
20200909PAWEW,Handgun,West Bradford Township,PA
20200830TXLOD,Handgun,Dallas,TX
20200825MOWEC,Handgun,Columbia,MO
20200817MIABG,Handgun,Grand Rapids,MI
20200804PAKEP,Handgun,Pittsburg,PA
20200729ILCOC,Handgun,Collinsville,IL
20200727AZCAO,Handgun,Oro Valley,AZ
20200721SCBRO,Handgun,Orangeburg,SC
20200714MIWID,Handgun,Detroit,MI
20200704INLAM,Handgun,Michigan City,IN
20200701ILFRP,Handgun,Prospect Heights,IL
20200630OHLAW,Rifle,West Chester Township,OH
20200616FLTOM,unknown,Miami,FL
20200603IAGAD,unknown,Davenport,IA
20200527OHLUC,Handgun,Cleveland,OH
20200525ALORM,Handgun,Mobile,AL
20200522OHMIC,unknown,Cleveland,OH
20200519VAWEM,Handgun,Manassas,VA
20200515NCSTC,Handgun,Cramerton,NC
20200505CAGOV,unknown,Visalia,CA
20200419NCABR,Handgun,Raleigh,NC
20200413NEMOO,Handgun,Omaha,NE
20200330GANAS,Handgun,Stonecrest,GA
20200324LAROM,Handgun,Monroe,LA
20200318LABOS,Handgun,Shreveport,LA
20200315TXATH,Handgun,Humble,TX
20200313TNPIR,Handgun,Rockwood,TN
20200310PASHN,unknown,New Castle,PA
20200305FLSAW,Handgun,Weston,FL
20200302TXNOF,Handgun,Forney,TX
20200221NMCEA,unknown,Albuquerque,NM
20200215DCDUW,unknown,Washington,DC
20200212MOJOF,Handgun,Ferguson,MO
20200205NHSEC,Handgun,Concord,NH
20200204LABEA,Rifle,Arnaudville,LA
20200203FLGEJ,Handgun,Jacksonville,FL
20200201TXHIH,Handgun,Houston,TX
20200131CADEA,Handgun,Antioch,CA
20200128TXLUL,Handgun,Lufkin,TX
20200128TNWHM,Handgun,Memphis,TN
20200128NYMAQ,Handgun,Queens,NY
20200127WAROY,Handgun,Yakima,WA
20200123CAOXO,Handgun,Oxnard,CA
20200121NEPAL,Other,Lincoln,NE
20200121ILLIC,Handgun,Chicago,IL
20200119TXNOF,Multiple Handguns,Fort Worth,TX
20200117SCCAS,unknown,Summerville,SC
20200117MITHH,Handgun,Howell,MI
20200114TXPOM,Handgun,Mesquite,TX
20200114TXBEH,Handgun,Houston,TX
20200111TXELD,Handgun,Dallas,TX
20200110MSMCJ,Other,Jackson,MS
20200108FLGLB,Handgun,Belle Glade,FL
20200107WASOK,Other,Kennewick,WA
20191228MOMAS,unknown,St. Louis,MO
20191221LAWES,Handgun,St. John the Baptist Parish,LA
20191219FLLEN,unknown,Naples,FL
20191216CTCAN,Handgun,New Haven,CT
20191213VAMAN,Handgun,Norfolk,VA
20191211KSCHT,Other,Topeka,KS
20191211INEVE,Other,Evansville,IN
20191210NJSAJ,unknown,Jersey City,NJ
20191210KSJCK,unknown,Kansas City,KS
20191210ALDED,Handgun,Decatur,AL
20191204NMPIL,Handgun,Las Cruces,NM
20191203WITHM,Other,Madison,WI
20191203WIOSO,Handgun,Oshkosh,WI
20191202WIWAW,Handgun,Waukesha,WI
20191201ALMOM,Handgun,Mountain Brook,AL
20191126WASAV,Handgun,Vancouver,WA
20191125ILCAC,Handgun,Chicago,IL
20191124CASEU,unknown,Union City,CA
20191121ILRIO,Other,Olympia Fields,IL
20191115NJPLP,Handgun,Pleasantville,NJ
20191114CASAS,Handgun,Santa Clarita,CA
20191113CAESL,unknown,Los Angeles,CA
20191111MDACB,Handgun,Baltimore,MD
